country,country_id,year,population,gdp,life_expectancy,deaths
Latvia,LVA,2010,2097.6,17706.8,73.1,30079
Lithuania,LTU,2010,3097.3,20096.8,73.3,42120
Colombia,COL,2010,45509.6,10558.9,74.3,200512
Turkey,TTO,2010,73142.2,17345.8,74.3,294501
Lithuania,LTU,2015,2904.9,28834.7,74.6,41776
Mexico,MEX,2015,121347.8,18378.5,74.7,640610
Hungary,HUN,2010,10000,21741.5,74.7,130456
Mexico,MEX,2010,113748.7,15301.2,74.8,578277
Latvia,LVA,2015,1977.5,24972.8,74.8,28185
Lithuania,LTU,2020,2794.9,40176.5,75.1,43547
Mexico,MEX,2020,127792.3,18262,75.2,1069443
Colombia,COL,2015,48203.4,12947.6,75.4,219432
Latvia,LVA,2020,1900.4,33018.6,75.5,28589
Slovak Republic,SVK,2010,5391.4,25401.7,75.6,53445
Hungary,HUN,2015,9843,26798.9,75.7,131697
Hungary,HUN,2020,9750.1,34169.9,75.7,..
Estonia,EST,2010,1331.5,21618.4,76,15781
Poland,POL,2010,38042.8,20889.8,76.4,378478
Poland,POL,2020,37899.1,35315.7,76.5,477355
Colombia,COL,2020,50911.7,15108.7,76.7,300769
Slovak Republic,SVK,2015,5423.8,30054.1,76.7,..
Slovak Republic,SVK,2020,5458.8,32922.1,77,..
United States,USA,2020,331501.1,63530.6,77,3383729
Poland,POL,2015,37986.4,26822.7,77.5,394921
Czechia,CZE,2010,10474.4,27880.5,77.7,106844
Turkey,TTO,2015,78218.5,25855.8,78,396971
Estonia,EST,2015,1315.4,29175.9,78,15243
Czechia,CZE,2020,10697.9,42827.1,78.3,129289
Chile,CHL,2010,17063.9,18041.3,78.7,97930
Czechia,CZE,2015,10546.1,33899.3,78.7,111173
United States,USA,2010,309327.1,48650.7,78.7,2469288
United States,USA,2015,320739,56762.7,78.7,2712630
Estonia,EST,2020,1329.5,39441.8,78.9,15686
Costa Rica,CRI,2010,4533.9,13362.9,79.1,18988
Denmark,DNK,2010,5547.7,43000.9,79.3,54027
Chile,CHL,2015,17971.4,22563.6,79.8,103308
Slovenia,SVN,2010,2048.6,27825.5,79.8,18609
Costa Rica,CRI,2015,4832.2,17639.9,79.9,20763
Portugal,PR,2010,10573.1,27260.6,80.1,106241
Korea,KOR,2010,49554.1,31736.6,80.2,255405
Finland,FIN,2010,5363.4,38954.5,80.2,50910
Belgium,BEL,2010,10895.6,39838,80.3,105152
United Kingdom,GBR,2010,62759.5,36583,80.4,561666
United Kingdom,GBR,2020,67081.2,45872,80.4,688806
Germany,DEU,2010,81776.9,38950.7,80.5,858768
Costa Rica,CRI,2020,5111.2,21744,80.6,25996
Greece,GRC,2010,11121.3,27911.7,80.6,109084
Slovenia,SVN,2020,2102.4,40871.8,80.6,24016
Austria,AUT,2010,8363.4,42007.3,80.7,77199
Germany,DEU,2015,81686.6,47609.8,80.7,925200
Chile,CHL,2020,19458.3,24738.7,80.8,126155
New Zealand,NZL,2010,4350.7,31224.7,80.8,28649
Ireland,IRL,2010,4560.2,43208.2,80.8,27122
Denmark,DNK,2015,5683.5,49045.3,80.8,52224
Belgium,BEL,2020,11538.6,54569.9,80.8,..
Luxembourg,LUX,2010,507,90357.1,80.8,3621
Slovenia,SVN,2015,2063.5,31628.2,80.9,19834
United Kingdom,GBR,2015,65110,42601.7,80.9,602781
Netherlands,NLD,2010,16615.4,45041.6,81,136058
Greece,GRC,2015,10820.9,26760.4,81.1,121485
Portugal,PR,2020,10297.1,34955.7,81.1,..
Belgium,BEL,2015,11274.2,46200.9,81.1,110541
Germany,DEU,2020,83160.9,56482.5,81.1,985572
Norway,NOR,2010,4889.3,58226.7,81.2,41442
Portugal,PR,2015,10358.1,29660.9,81.3,108922
Austria,AUT,2015,8642.7,49865.9,81.3,83073
Austria,AUT,2020,8916.9,57258.7,81.3,91599
Greece,GRC,2020,10698.6,28416.5,81.4,131077
Canada,CAN,2010,34004.9,40099.5,81.4,240075
Netherlands,NLD,2020,17441.5,59823,81.4,168678
New Zealand,NZL,2015,4609.4,37479.7,81.5,31796
Ireland,IRL,2015,4702,69075,81.5,30127
Sweden,SWE,2010,9378.1,42221.8,81.6,90519
Finland,FIN,2015,5479.5,42497.7,81.6,..
Netherlands,NLD,2015,16939.9,50288.6,81.6,147134
Denmark,DNK,2020,5831.4,60832.2,81.6,54399
Israel,ISR,2010,7623.6,29299.1,81.7,39418
Australia,AUS,2010,22031.8,42816.5,81.7,143473
Canada,CAN,2020,38037.2,47189.1,81.7,..
France,FRA,2010,64818.8,36016.7,81.9,541576
Iceland,ISL,2010,318,39773.3,81.9,2019
Canada,CAN,2015,35702.9,44670.1,81.9,264333
Finland,FIN,2020,5529.5,52305.3,82,55498
Korea,KOR,2015,51014.9,37902.4,82.1,275895
Italy,ITA,2010,59277.4,35156.7,82.2,584615
Israel,ISR,2015,8380.1,35864.1,82.2,44266
Sweden,SWE,2015,9799.2,49103.1,82.2,91002
Luxembourg,LUX,2020,630.4,120010.2,82.2,4348
Italy,ITA,2020,59438.9,43144.4,82.3,..
New Zealand,NZL,2020,5090.2,45518.8,82.3,..
France,FRA,2020,67571.1,48135,82.3,..
Spain,ESP,2010,46576.9,31681.1,82.4,382047
Spain,ESP,2020,47365.7,37988,82.4,493776
