Variable,Measure,Country,AVG
Sugar supply,Kilos per capita per year,Australia,74.33636364
Tobacco consumption,Grams per capita (15+),Australia,800.2
Total fat supply,Grams per capita per day,Australia,157.2909091
Sugar supply,Kilos per capita per year,Costa Rica,53.60909091
Tobacco consumption,Grams per capita (15+),Costa Rica,222.5916667
Total fat supply,Grams per capita per day,Costa Rica,96.17272727
Sugar supply,Kilos per capita per year,Czechia,51.25454545
Tobacco consumption,Grams per capita (15+),Czechia,2321.272727
Total fat supply,Grams per capita per day,Czechia,138.7
Sugar supply,Kilos per capita per year,Denmark,55.67272727
Tobacco consumption,Grams per capita (15+),Denmark,1327.916667
Total fat supply,Grams per capita per day,Denmark,134.0272727
Sugar supply,Kilos per capita per year,Finland,41.86363636
Tobacco consumption,Grams per capita (15+),Finland,798.25
Total fat supply,Grams per capita per day,Finland,138.9818182
Sugar supply,Kilos per capita per year,France,37.76363636
Tobacco consumption,Grams per capita (15+),France,1020.263636
Total fat supply,Grams per capita per day,France,153.7090909
Sugar supply,Kilos per capita per year,Germany,47.30909091
Tobacco consumption,Grams per capita (15+),Germany,1599.916667
Total fat supply,Grams per capita per day,Germany,148.5090909
Sugar supply,Kilos per capita per year,Greece,32.9
Tobacco consumption,Grams per capita (15+),Greece,1232.866667
Total fat supply,Grams per capita per day,Greece,151.9090909
Sugar supply,Kilos per capita per year,Hungary,41.03636364
Tobacco consumption,Grams per capita (15+),Hungary,1579.333333
Total fat supply,Grams per capita per day,Hungary,144.3818182
Sugar supply,Kilos per capita per year,Ireland,81.65454545
Tobacco consumption,Grams per capita (15+),Ireland,928.8923077
Total fat supply,Grams per capita per day,Ireland,139.0545455
Sugar supply,Kilos per capita per year,Israel,35.10909091
Tobacco consumption,Grams per capita (15+),Israel,867.1923077
Total fat supply,Grams per capita per day,Israel,148.1272727
Sugar supply,Kilos per capita per year,Japan,27.2
Tobacco consumption,Grams per capita (15+),Japan,1463
Total fat supply,Grams per capita per day,Japan,87.92727273
Sugar supply,Kilos per capita per year,Korea,45.65454545
Tobacco consumption,Grams per capita (15+),Korea,1812.833333
Total fat supply,Grams per capita per day,Korea,111.7545455
Sugar supply,Kilos per capita per year,Norway,45.50909091
Tobacco consumption,Grams per capita (15+),Norway,925.5384615
Total fat supply,Grams per capita per day,Norway,141
Sugar supply,Kilos per capita per year,Spain,32.56363636
Tobacco consumption,Grams per capita (15+),Spain,1602.061538
Total fat supply,Grams per capita per day,Spain,147.8181818
Sugar supply,Kilos per capita per year,Switzerland,52.00909091
Tobacco consumption,Grams per capita (15+),Switzerland,1442.5
Total fat supply,Grams per capita per day,Switzerland,156.5909091
Sugar supply,Kilos per capita per year,Türkiye,32.78181818
Tobacco consumption,Grams per capita (15+),Türkiye,1131.725
Total fat supply,Grams per capita per day,Türkiye,120.5
Sugar supply,Kilos per capita per year,United States,65.3
Tobacco consumption,Grams per capita (15+),United States,1179.083333
Total fat supply,Grams per capita per day,United States,168.4727273
